Date time,SMP,Temperature,Wind Speed,Visibility,Cloud Cover
10/21/2021 00:00:00,900,25,5.4,6.1,28
10/21/2021 00:30:00,900,25,3.6,6.1,25.9
10/21/2021 01:00:00,899.7,24.5,3.5,13.4,59.6
10/21/2021 01:30:00,890,25,0.1,6.1,25.9
10/21/2021 02:00:00,890,25,1.8,6.1,28
10/21/2021 02:30:00,889.9,24,5.4,6.1,25.9
10/21/2021 03:00:00,883.9,24,3.6,6.1,28
10/21/2021 03:30:00,890,24,1.8,4.2,25.9
10/21/2021 04:00:00,899.7,23.9,0.1,3.2,59.6
10/21/2021 04:30:00,900,24,5.3,3.2,25.9
10/21/2021 05:00:00,900,24,3.6,3.1,28
10/21/2021 05:30:00,915,24,3.6,4.2,49.1
10/21/2021 06:00:00,929.8,24,1.8,4.1,49.6
10/21/2021 06:30:00,906.3,24.1,5.3,5.2,49.1
10/21/2021 07:00:00,900,24.2,3.6,7.6,59.1
10/21/2021 07:30:00,900,26.1,3.5,7.1,25
10/21/2021 08:00:00,900,27.1,3.6,8,27.6
10/21/2021 08:30:00,900,27.1,7.4,9,25
10/21/2021 09:00:00,900,28.1,9.2,10,27.6
10/21/2021 09:30:00,890,28.1,9.2,10,25
10/21/2021 10:00:00,900,29.5,7.5,15.3,59.1
10/21/2021 10:30:00,906.3,29,5.6,10,25
10/21/2021 11:00:00,906.3,29,7.6,10,27.6
10/21/2021 11:30:00,900,30,7.7,10,25
10/21/2021 12:00:00,890,30,11.2,10,27.6
10/21/2021 12:30:00,890,30,14.7,10,25
10/21/2021 13:00:00,900,30.6,12.7,15.3,59.1
10/21/2021 13:30:00,915,30,13,10,25
10/21/2021 14:00:00,929.8,29,14.8,10,27.6
10/21/2021 14:30:00,961,30,14.8,10,25
10/21/2021 15:00:00,961,30,11.2,10,27.6
10/21/2021 15:30:00,1266.4,30,14.6,10,25
10/21/2021 16:00:00,1266.4,29.2,13.4,15.3,59.1
10/21/2021 16:30:00,1200,29,14.6,10,25
10/21/2021 17:00:00,1058.1,28,11.1,10,27.6
10/21/2021 17:30:00,1266.4,28,12.8,10,25
10/21/2021 18:00:00,1402.8,28,11.1,10,27.6
10/21/2021 18:30:00,1150,28,11,10,25
10/21/2021 19:00:00,965.7,27.4,9.2,15.3,59.1
10/21/2021 19:30:00,960,28,7.5,10,85.8
10/21/2021 20:00:00,961,28,9.2,10,49.6
10/21/2021 20:30:00,961,28,7.4,10,50
10/21/2021 21:00:00,929.8,28,5.3,10,88.4
10/21/2021 21:30:00,915,27,5.3,10,49.1
10/21/2021 22:00:00,906.3,26.3,4.4,15.3,70.6
10/21/2021 22:30:00,906.3,27,3.5,10,85.8
10/21/2021 23:00:00,890,27,5.3,10,88
10/21/2021 23:30:00,883.9,27,1.7,10,50
10/22/2021 00:00:00,850,26,2.9,10,50
10/22/2021 00:30:00,700,26,5.2,10,50
10/22/2021 01:00:00,850,25.5,0,15.3,71.7
10/22/2021 01:30:00,850,26,0,10,50
10/22/2021 02:00:00,850,26,3.5,10,49.6
10/22/2021 02:30:00,700,26,1.7,10,49.1
10/22/2021 03:00:00,800,26,1.8,10,50
10/22/2021 03:30:00,1,26,1.7,6.1,86.6
10/22/2021 04:00:00,500,25.1,5.2,5.9,88.4
10/22/2021 04:30:00,700,26,2,7.9,88
10/22/2021 05:00:00,850,26,5.3,8,89.1
10/22/2021 05:30:00,880,25,5.2,6,86.6
10/22/2021 06:00:00,900,25,5.3,6,50
10/22/2021 06:30:00,850,26,3.5,9,50
10/22/2021 07:00:00,850,25.5,13.8,3,93.2
10/22/2021 07:30:00,850,26,9,4.1,85.8
10/22/2021 08:00:00,850,26,16.4,6,88.4
10/22/2021 08:30:00,850,26,14.3,6.1,86.6
10/22/2021 09:00:00,850,27.1,11,8,88
10/22/2021 09:30:00,850,26.1,16.3,6.1,85.8
10/22/2021 10:00:00,890,22.8,15.8,5.3,93.2
10/22/2021 10:30:00,900,22.2,25.4,3.2,85.8
10/22/2021 11:00:00,900,22.1,24.1,5.1,88.4
10/22/2021 11:30:00,889.9,23.1,23.9,5.1,86.6
10/22/2021 12:00:00,850,23.1,22.3,6,88.4
10/22/2021 12:30:00,850,23.2,20.5,6.1,86.6
10/22/2021 13:00:00,850,22.9,16.1,9.1,93.7
10/22/2021 13:30:00,700,24.1,21.9,6.1,86.6
10/22/2021 14:00:00,900,23.1,23.9,4.1,88.4
10/22/2021 14:30:00,890,23.1,24,4.1,86.6
10/22/2021 15:00:00,900,22.1,22.4,4.1,88.4
10/22/2021 15:30:00,929.8,22.1,20.6,4.1,86.6
10/22/2021 16:00:00,1037.9,22.7,16.3,6.2,93.7
10/22/2021 16:30:00,1266.4,23.1,22,4.1,88
10/22/2021 17:00:00,1503.5,23,22.1,4,89.1
10/22/2021 17:30:00,1503.5,23,21.9,4,88
10/22/2021 18:00:00,1503.5,23,25.6,4,89.1
10/22/2021 18:30:00,1266.4,23,25.2,5,88
10/22/2021 19:00:00,1058.1,22.5,15.8,4,94.3
10/22/2021 19:30:00,952,22,27,3.1,88
10/22/2021 20:00:00,929.8,22,22.3,2,89.1
10/22/2021 20:30:00,929.8,22,25.2,2,88
10/22/2021 21:00:00,929.8,22,23.8,3,89.1
10/22/2021 21:30:00,900,22,25.2,2.1,88
10/22/2021 22:00:00,900,21.9,10.8,2,94.3
10/22/2021 22:30:00,890,22,0,3,88
10/22/2021 23:00:00,850,23,29.1,2,89.1
10/22/2021 23:30:00,850,23,25.3,3,88
10/24/2021 00:00:00,1,21,7.6,2.1,88
10/24/2021 00:30:00,1,21,9.4,2.1,88
10/24/2021 01:00:00,1,21,0,2.1,88
10/24/2021 01:30:00,1,21,0,2.1,88
10/24/2021 02:00:00,1,21,7.5,2.1,88
10/24/2021 02:30:00,1,21,3.8,2.1,88
10/24/2021 03:00:00,1,21,12.9,2.1,88
10/24/2021 03:30:00,1,21,9.3,3.1,88
10/24/2021 04:00:00,1,21,5.4,3.1,88
10/24/2021 04:30:00,1,21,112.8,3.1,88
10/24/2021 05:00:00,1,21,11,2.1,88
10/24/2021 05:30:00,1,21,12.8,3.1,88
10/24/2021 06:00:00,1,21,9.4,3.1,88
10/24/2021 06:30:00,1,21.1,7.6,2.1,88
10/24/2021 07:00:00,1,21.1,13,1.2,88
10/24/2021 07:30:00,1,21.1,11.2,2.1,88
10/24/2021 08:00:00,1,21.1,11.3,2.1,88
10/24/2021 08:30:00,1,21.1,13.1,1.2,88
10/24/2021 09:00:00,1,21.1,11.4,1.2,88
10/24/2021 09:30:00,1,21.1,11.3,1.2,88
10/24/2021 10:00:00,1,21.1,0,1.2,88
10/24/2021 10:30:00,1,22.1,0,2.1,88
10/24/2021 11:00:00,1,22.1,9.7,4.1,88
10/24/2021 11:30:00,1,22.1,8.1,7,88
10/24/2021 12:00:00,1,24,13.1,2.2,88
10/24/2021 12:30:00,1,25,18.2,6.9,88
10/24/2021 13:00:00,1,25,0,8,88
10/24/2021 13:30:00,1,25,0,8,88
10/24/2021 14:00:00,1,25,16.8,7.9,88
10/24/2021 14:30:00,1,25,16.8,8,88
10/24/2021 15:00:00,1,25,18.6,8,88
10/24/2021 15:30:00,1,25,18.4,8,88
10/24/2021 16:00:00,883.9,25,16.7,7.9,88
10/24/2021 16:30:00,956,24,14.9,5,88
10/24/2021 17:00:00,1100,25,13.2,6,88
10/24/2021 17:30:00,1266.4,24,14.7,6.9,88
10/24/2021 18:00:00,1266.4,24.9,16.5,7.9,88
10/24/2021 18:30:00,1266.4,25,14.7,9.9,88
10/24/2021 19:00:00,956,25,16.8,9.9,88
10/24/2021 19:30:00,900,25,16.6,9.9,88
10/24/2021 20:00:00,890,23,15,9.9,88
10/24/2021 20:30:00,890,22.1,14.9,7,88
10/24/2021 21:00:00,850,22.1,8.1,7,88
10/24/2021 21:30:00,850,22.1,11.4,7,88
10/24/2021 22:00:00,1,22.1,15,7,88
10/24/2021 22:30:00,1,22.1,15,6,88
10/24/2021 23:00:00,1,22,15,6,88
10/24/2021 23:30:00,1,22,14.8,4.1,88
